HARF;X;Y;Z
a;-10;55;500
b;-102;-35;500
c;126;55;500
d;-80;10;500
e;-12;-35;500
f;213;-35;500
g;78;-35;500
h;145;10;500
i;10;10;500
j;-170;10;500
k;100;10;500
l;35;55;500
m;-55;55;500
n;-35;10;500
o;168;-35;500
p;190;10;500
q;-192;-35;500
r;33;-35;500
s;55;10;500
t;-125;10;500
u;-57;-35;500
v;123;-35;500
w;-147;-35;500
x;-146;55;500
y;81;55;500
z;-101;55;500
