Harf;X;Y;Z
a;-170;10;500
b;35;55;500
c;-55;55;500
d;-80;10;500
e;-102;-35;500
f;-35;10;500
g;10;10;500
h;55;10;500
i;123;-35;500
j;100;10;500
k;145;10;500
l;190;10;500
m;126;55;500
n;81;55;500
o;168;-35;500
p;213;-35;500
q;-192;-35;500
r;-57;-35;500
s;-125;10;500
t;-12;-35;500
u;78;-35;500
v;-10;55;500
w;-147;-35;500
x;-101;55;500
y;33;-35;500
z;-146;55;500
