TXT DosyaNo;esasNo;kararNo
002436;2016-4180;2022-852
002437;2019-3544;2022-884
002438;2016-3596;2022-854
002439;2022-507;2022-860
002440;2016-3319;2022-853
002441;2022-395;2022-830
002442;2022-443;2022-814
002443;2021-1382;2022-1100
002444;2021-1319;2022-1099
002445;2022-458;2022-833
002446;2022-1486;2022-837
002447;2021-1597;2022-1105
002448;2021-16875;2022-1126
002449;2021-6378;2022-1139
002450;2021-17941;2022-1093
002451;2022-448;2022-1096
002452;2021-10376;2022-1133
002453;2021-9195;2022-1127
002454;2021-15777;2022-1123
002455;2021-16050;2022-1136
002456;2018-8773;2022-2817
002457;2018-1922;2022-2818
002458;2021-15847;2022-1103
002459;2021-18489;2022-1090
002460;2019-2168;2022-971
002461;2021-10409;2022-1121
002462;2021-18125;2022-1110
002463;2021-2238;2022-1080
002464;2021-9877;2022-1092
002465;2019-6842;2022-991
002466;2021-18234;2022-1109
002467;2021-10438;2022-1120
002468;2020-1901;2022-1137
002469;2020-1995;2022-1138
002470;2021-1542;2022-1149
002471;2021-7;2022-1132
002472;2021-2724;2022-1134
002473;2018-5244;2022-1167
002474;2022-643;2022-1491
002475;2021-938;2022-1084
002476;2021-3565;2022-1106
002477;2021-14430;2022-1102
002478;2020-1902;2022-1111
002479;2020-1910;2022-1112
002480;2020-2920;2022-807
002481;2022-1193;2022-791
002482;2022-1747;2022-813
002483;2022-2860;2022-842
002484;2022-1237;2022-1492
002485;2020-3537;2022-2733
002486;2022-1657;2022-1454
002487;2021-1883;2022-989
002488;2018-2348;2022-979
002489;2021-1882;2022-988
002490;2019-4095;2022-973
002491;2017-803;2022-1211
002492;2019-2167;2022-970
002493;2018-3279;2022-1375
002494;2018-2349;2022-990
002495;2018-5445;2022-1168
002496;2017-5846;2022-796
002497;2021-17119;2022-1130
002498;2020-3833;2022-823
002499;2021-18322;2022-1037
002500;2020-4089;2022-772
002501;2020-3874;2022-770
002502;2020-4081;2022-771
002503;2020-3879;2022-777
002504;2020-4094;2022-778
002505;2020-4096;2022-779
002506;2020-4139;2022-780
002507;2020-4138;2022-774
002508;2020-4101;2022-773
002509;2019-2279;2022-2655
002510;2020-1500;2022-2682
002511;2019-1301;2022-2651
002512;2019-13430;2022-2653
002513;2019-12868;2022-2649
002514;2019-13419;2022-2652
002515;2018-256;2022-2645
002516;2018-3957;2022-2613
002517;2019-17117;2022-2654
002518;2019-1285;2022-2650
002519;2020-2343;2022-1339
002520;2020-337;2022-752
002521;2020-3319;2022-750
002522;2020-332;2022-751
002523;2020-331;2022-753
002524;2020-326;2022-755
002525;2021-5015;2022-847
002526;2021-4555;2022-775
002527;2020-3873;2022-769
002528;2021-2446;2022-1049
002529;2020-940;2022-1350
002530;2021-5881;2022-1057
002531;2021-3272;2022-738
002532;2019-2383;2022-913
002533;2019-6728;2022-907
002534;2019-4113;2022-943
002535;2021-3699;2022-945
002536;2020-1637;2022-944
002537;2019-715;2022-915
002538;2022-439;2022-928
002539;2019-5918;2022-934
002540;2019-716;2022-914
002541;2021-3441;2022-767
002542;2020-5461;2022-768
002543;2020-3253;2022-754
002544;2021-2788;2022-776
002545;2018-3723;2022-910
002546;2019-714;2022-912
002547;2021-14546;2022-1036
002548;2021-18298;2022-1050
002549;2017-1670;2022-1048
002550;2021-18242;2022-1051
002551;2018-6620;2022-2684
002552;2021-18187;2022-1035
002553;2022-937;2022-957
002554;2021-18207;2022-1077
002555;2021-18248;2022-1052
002556;2021-574;2022-776
002557;2021-15082;2022-1045
002558;2021-3415;2022-1039
002559;2022-340;2022-1042
002560;2021-14773;2022-1054
002561;2021-16085;2022-1047
002562;2021-18816;2022-1068
002563;2021-17360;2022-1064
002564;2021-14768;2022-1063
002565;2021-17092;2022-1073
002566;2021-14763;2022-1061
002567;2019-4333;2022-1356
002568;2020-2528;2022-1344
002569;2022-633;2022-1055
002570;2020-2237;2022-1354
002571;2021-18704;2022-1043
002572;2021-18683;2022-1053
002573;2021-15610;2022-1041
002574;2021-17930;2022-1062
002575;2022-844;2022-1320
002576;2022-316;2022-1044
002577;2018-684;2022-842
002578;2020-1770;2022-843
002579;2021-16985;2022-1032
002580;2021-17774;2022-1038
002581;2019-2256;2022-918
002582;2019-1598;2022-923
002583;2019-2371;2022-1295
002584;2020-5265;2022-1306
002585;2018-3187;2022-909
002586;2018-4514;2022-924
002587;2019-2331;2022-1294
002588;2019-2669;2022-931
002589;2018-842;2022-922
002590;2019-2438;2022-927
002591;2019-1789;2022-930
002592;2019-10076;2022-117
002593;2019-3091;2022-921
002594;2019-5631;2022-929
002595;2018-4515;2022-925
002596;2020-2142;2022-1349
002597;2019-6417;2022-926
002598;2016-57096;2022-757
002599;2019-2257;2022-920
002600;2019-7699;2022-919
002601;2022-297;2022-1072
002602;2019-1524;2022-908
002603;2019-3086;2022-917
002604;2018-5686;2022-911
002605;2021-5225;2022-1075
002606;2018-4485;2022-1311
002607;2018-3009;2022-916
002608;2021-3640;2022-761
002609;2021-3900;2022-764
002610;2021-3419;2022-763
002611;2019-9145;2022-1351
002612;2018-7851;2022-1346
002613;2021-569;2022-1431
002614;2021-6767;2022-1422
002615;2020-2260;2022-1443
002616;2022-471;2022-1398
002617;2021-1289;2022-1437
002618;2018-346;2022-1252
002619;2019-5580;2022-1253
002620;2016-2027;2022-821
002621;2021-5112;2022-841
002622;2016-545;2022-820
002623;2016-1335;2022-819
002624;2017-7513;2022-1334
002625;2018-5850;2022-1238
002626;2020-1651;2022-1235
002627;2020-1535;2022-1237
002628;2017-460;2022-1357
002629;2022-1333;2022-1369
002630;2019-1137;2022-889
002631;2020-6994;2022-1352
002632;2022-435;2022-871
002633;2021-2038;2022-860
002634;2018-5009;2022-861
002635;2018-5010;2022-862
002636;2020-4740;2022-858
002637;2019-6202;2022-887
002638;2019-6032;2022-873
002639;2019-6915;2022-870
002640;2019-6033;2022-874
002641;2018-562;2022-854
002642;2019-5417;2022-886
002643;2020-949;2022-1350
002644;2019-7585;2022-872
002645;2021-2805;2022-838
002646;2018-2464;2022-880
002647;2022-743;2022-840
002648;2021-3854;2022-879
002649;2018-6242;2022-883
002650;2019-3036;2022-884
002651;2016-4860;2022-811
002652;2018-5112;2022-881
002653;2016-4612;2022-810
002654;2018-5384;2022-882
002655;2020-1080;2022-696
002656;2022-714;2022-999
002657;2018-7059;2022-1240
002658;2022-414;2022-837
002659;2022-217;2022-834
002660;2018-1287;2022-1242
002661;2017-516;2022-1358
002662;2017-421;2022-1363
002663;2022-1319;2022-1371
002664;2018-537;2022-1267
002665;2021-17623;2022-1016
002666;2022-1305;2022-1108
002667;2021-7793;2022-1109
002668;2019-6840;2022-875
002669;2019-1177;2022-905
002670;2019-2376;2022-901
002671;2019-2524;2022-904
002672;2019-2448;2022-1250
002673;2019-7720;2022-1251
002674;2022-701;2022-993
002675;2020-894;2022-1249
002676;2019-816;2022-906
002677;2019-3348;2022-844
002678;2018-1369;2022-1243
002679;2021-2349;2022-1248
002680;2019-3452;2022-903
002681;2020-3938;2022-2587
002682;2021-15647;2022-1025
002683;2021-5310;2022-1023
002684;2022-761;2022-996
002685;2021-4954;2022-1007
002686;2021-4365;2022-1012
002687;2022-765;2022-998
002688;2022-706;2022-997
002689;2022-1197;2022-1106
002690;2019-11482;2022-1098
002691;2018-4572;2022-2593
002692;2021-4004;2022-899
002693;2021-4035;2022-900
002694;2019-4401;2022-894
002695;2018-6056;2022-877
002696;2022-546;2022-888
002697;2019-6209;2022-869
002698;2020-1474;2022-1005
002699;2019-3199;2022-851
002700;2019-5463;2022-885
002701;2019-1518;2022-848
002702;2021-3978;2022-843
002703;2019-1509;2022-846
002704;2019-5470;2022-892
002705;2018-3520;2022-878
002706;2019-3197;2022-850
002707;2019-1510;2022-847
002708;2019-3198;2022-845
002709;2018-4381;2022-896
002710;2020-1462;2022-898
002711;2019-6699;2022-895
002712;2018-372;2022-1233
002713;2018-4074;2022-2580
002714;2022-237;2022-863
002715;2021-3820;2022-853
002716;2021-3471;2022-855
002717;2021-3955;2022-864
002718;2019-7569;2022-868
002719;2019-1766;2022-849
002720;2019-3200;2022-852
002721;2019-7115;2022-865
002722;2017-2219;2022-816
002723;2017-466;2022-1361
002724;2017-419;2022-1362
002725;2020-4739;2022-857
002726;2020-2198;2022-856
002727;2017-450;2022-1359
002728;2021-15231;2022-951
002729;2021-18196;2022-944
002730;2020-1452;2022-232
002731;2022-82;2022-200
002732;2022-160;2022-204
002733;2022-83;2022-201
002734;2022-81;2022-199
002735;2020-1451;2022-231
002736;2022-179;2022-150
002737;2021-1493;2022-100
002738;2022-130;2022-115
002739;2022-156;2022-109
002740;2022-158;2022-111
002741;2022-157;2022-110
002742;2022-155;2022-108
002743;2022-129;2022-114
002744;2022-178;2022-149
002745;2022-124;2022-124
002746;2022-89;2022-202
002747;2021-1434;2022-187
002748;2022-153;2022-181
002749;2022-154;2022-182
002750;2022-185;2022-197
002751;2022-175;2022-203
002752;2020-1264;2022-214
002753;2022-166;2022-159
002754;2022-76;2022-212
002755;2021-1613;2022-215
002756;2022-123;2022-157
002757;2021-1549;2022-162
002758;2021-1675;2022-160
002759;2021-1647;2022-161
002760;2022-75;2022-155
002761;2020-1079;2022-236
002762;2020-1113;2022-235
002763;2020-1566;2022-237
002764;2020-1268;2022-233
002765;2020-1567;2022-238
002766;2020-1201;2022-234
002767;2022-14;2022-152
002768;2021-1601;2022-153
002769;2022-196;2022-147
002770;2022-159;2022-154
002771;2022-177;2022-148
002772;2020-1263;2022-219
002773;2020-962;2022-98
002774;2021-69;2022-99
002775;2021-1648;2022-165
002776;2021-1557;2022-163
002777;2022-64;2022-151
002778;2022-195;2022-177
002779;2022-186;2022-180
002780;2020-4672;2022-2400
002781;2019-21414;2022-2471
002782;2019-22039;2022-2474
002783;2019-14410;2022-2459
002784;2019-14380;2022-2457
002785;2019-21389;2022-2468
002786;2019-14415;2022-2460
002787;2019-1054;2022-2450
002788;2019-12213;2022-2564
002789;2019-1501;2022-2462
002790;2020-1886;2022-2479
002791;2019-22024;2022-2472
002792;2021-3608;2022-797
002793;2019-4088;2022-748
002794;2020-3044;2022-749
002795;2021-4815;2022-789
002796;2022-179;2022-787
002797;2017-721;2022-756
002798;2021-3087;2022-2399
002799;2021-10525;2022-2516
002800;2021-3332;2022-2546
002801;2021-6897;2022-1325
002802;2020-6749;2022-2497
002803;2021-982;2022-228
002804;2020-1199;2022-239
002805;2020-1265;2022-240
002806;2020-1307;2022-230
002807;2020-9682;2022-2561
002808;2020-8527;2022-2499
002809;2021-19232;2022-954
002810;2020-531;2022-1328
002811;2020-1218;2022-225
002812;2021-5043;2022-1317
002813;2020-1292;2022-185
002814;2020-1284;2022-170
002815;2020-1234;2022-241
002816;2020-1291;2022-184
002817;2020-1283;2022-169
002818;2020-1197;2022-168
002819;2020-1285;2022-171
002820;2020-1235;2022-242
002821;2020-1319;2022-179
002822;2021-3534;2022-689
002823;2020-3238;2022-1326
002824;2020-1097;2022-97
002825;2020-1310;2022-243
002826;2020-1220;2022-229
002827;2020-1287;2022-173
002828;2020-1286;2022-172
002829;2020-1288;2022-174
002830;2020-1289;2022-175
002831;2022-12;2022-1057
002832;2020-1330;2022-167
002833;2020-1214;2022-222
002834;2021-3453;2022-799
002835;2021-4908;2022-800
002836;2021-3460;2022-798
002837;2020-1294;2022-223
002838;2020-1221;2022-226
002839;2020-1290;2022-176
002840;2020-1293;2022-220
002841;2020-1213;2022-221
002842;2020-1368;2022-801
002843;2021-3533;2022-688
002844;2021-18215;2022-941
002845;2020-418;2022-872
002846;2019-1150;2022-2451
002847;2021-9927;2022-2421
002848;2019-1504;2022-2463
002849;2019-16684;2022-2465
002850;2019-13268;2022-2455
002851;2021-5642;2022-2447
002852;2019-16684;2022-2465
002853;2020-280;2022-871
002854;2021-18008;2022-938
002855;2021-16160;2022-950
002856;2021-14477;2022-946
002857;2021-18542;2022-952
002858;2021-17692;2022-937
002859;2021-15050;2022-945
002860;2021-14765;2022-934
002861;2021-15056;2022-948
002862;2021-14249;2022-935
002863;2021-18182;2022-939
002864;2022-20;2022-949
002865;2020-3335;2022-2482
002866;2019-21406;2022-2469
002867;2019-14193;2022-2524
002868;2019-22051;2022-2475
002869;2020-7124;2022-2515
002870;2021-2899;2022-1059
002871;2019-717;2022-2441
002872;2022-1074;2022-2531
002873;2019-1304;2022-2446
002874;2020-6196;2022-2491
002875;2022-978;2022-2568
002876;2022-947;2022-2537
002877;2022-994;2022-2532
002878;2022-1042;2022-2539
002879;2022-818;2022-2533
002880;2019-15697;2022-2518
002881;2018-1890;2022-2562
002882;2018-6850;2022-2443
002883;2020-6668;2022-2496
002884;2019-149;2022-2567
002885;2020-4348;2022-2484
002886;2020-539;2022-2485
002887;2018-6822;2022-2442
002888;2018-6964;2022-2444
002889;2021-114;2022-2500
002890;2018-7680;2022-2445
002891;2021-3282;2022-2501
002892;2020-3370;2022-2483
002893;2019-21609;2022-2563
002894;2021-17446;2022-942
002895;2020-6057;2022-2488
002896;2020-6085;2022-2489
002897;2019-21062;2022-2520
002898;2021-17430;2022-936
002899;2021-18034;2022-940
002900;2020-7008;2022-2498
002901;2020-6186;2022-2490
002902;2021-9838;2022-956
002903;2021-9847;2022-955
002904;2020-6202;2022-2492
002905;2021-14766;2022-933
002906;2021-17125;2022-947
002907;2021-15748;2022-943
002908;2021-15819;2022-976
002909;2021-10418;2022-957
002910;2021-14603;2022-987
002911;2021-17501;2022-982
002912;2019-8545;2022-1077
002913;2020-6265;2022-2493
002914;2021-7845;2022-1056
002915;2020-3730;2022-753
002916;2019-16218;2022-2513
002917;2017-5969;2022-724
002918;2017-2083;2022-788
002919;2018-5988;2022-1315
002920;2018-3613;2022-1316
002921;2021-17272;2022-902
002922;2022-1650;2022-717
002923;2022-1980;2022-720
002924;2021-11845;2022-716
002925;2022-3464;2022-714
002926;2021-3299;2022-1293
002927;2022-2804;2022-715
002928;2022-3423;2022-713
002929;2019-21713;2022-2362
002930;2020-2959;2022-2324
002931;2019-11746;2022-2364
002932;2022-910;2022-2379
002933;2019-20948;2022-2363
002934;2018-6069;2022-793
002935;2022-398;2022-803
002936;2019-635;2022-806
002937;2018-6070;2022-792
002938;2019-636;2022-805
002939;2022-475;2022-740
002940;2021-12652;2022-887
002941;2021-14416;2022-903
002942;2021-4740;2022-2287
002943;2021-7497;2022-2350
002944;2021-10711;2022-2383
002945;2021-6362;2022-2352
002946;2021-10705;2022-2382
002947;2018-62;2022-1267
002948;2020-1866;2022-2296
002949;2020-3527;2022-2325
002950;2020-6126;2022-2349
002951;2021-16309;2022-916
002952;2022-6;2022-919
002953;2022-341;2022-921
002954;2019-3686;2022-1264
002955;2019-468;2022-799
002956;2017-1713;2022-1266
002957;2021-17680;2022-872
002958;2021-17233;2022-871
002959;2021-17653;2022-873
002960;2021-17960;2022-913
002961;2021-17697;2022-915
002962;2021-17649;2022-875
002963;2021-17043;2022-876
002964;2021-17961;2022-911
002965;2021-1658;2022-722
002966;2019-1756;2022-829
002967;2019-1808;2022-828
002968;2018-1514;2022-833
002969;2019-263;2022-826
002970;2020-1639;2022-837
002971;2019-1514;2022-835
002972;2019-2267;2022-836
002973;2019-1515;2022-834
002974;2019-1515;2022-834
002975;2019-263;2022-826
002976;2020-1639;2022-837
002977;2019-3386;2022-798
002978;2019-733;2022-825
002979;2019-733;2022-825
002980;2019-3542;2022-820
002981;2019-6117;2022-821
002982;2019-5742;2022-808
002983;2019-4509;2022-787
002984;2019-5335;2022-839
002985;2018-1815;2022-789
002986;2019-7571;2022-804
002987;2019-784;2022-807
002988;2018-1378;2022-791
002989;2019-6716;2022-788
002990;2019-7704;2022-818
002991;2019-501;2022-816
002992;2018-4985;2022-790
002993;2019-478;2022-708
002994;2020-164;2022-704
002995;2022-14;2022-899
002996;2022-405;2022-879
002997;2021-17094;2022-907
002998;2021-17088;2022-906
002999;2021-17624;2022-895
003000;2021-17953;2022-884
003001;2022-106;2022-930
003002;2021-18459;2022-897
003003;2021-16906;2022-905
003004;2021-17979;2022-904
003005;2021-18810;2022-900
003006;2021-18538;2022-874
003007;2021-16981;2022-898
003008;2021-15474;2022-878
003009;2021-8109;2022-1186
003010;2019-2383;2022-1180
003011;2019-11823;2022-2366
003012;2021-18179;2022-910
003013;2022-245;2022-908
003014;2018-7766;2022-2289
003015;2021-1132;2022-2306
003016;2018-7511;2022-2277
003017;2019-15228;2022-2310
003018;2021-4935;2022-2327
003019;2020-5783;2022-2351
003020;2019-16689;2022-2275
003021;2019-14211;2022-2308
003022;2018-7422;2022-2276
003023;2019-14366;2022-2307
003024;2020-9772;2022-2303
003025;2018-5742;2022-2292
003026;2020-3013;2022-720
003027;2019-1830;2022-718
003028;2019-5486;2022-817
003029;2019-1221;2022-815
003030;2019-2725;2022-832
003031;2019-1755;2022-830
003032;2019-2280;2022-827
003033;2019-502;2022-814
003034;2019-3244;2022-822
003035;2019-5472;2022-838
003036;2019-1760;2022-831
003037;2021-9826;2022-881
003038;2021-3528;2022-882
003039;2019-5558;2022-842
003040;2019-5550;2022-841
003041;2019-488;2022-823
003042;2019-487;2022-824
003043;2019-5342;2022-840
003044;2019-3822;2022-719
003045;2020-3291;2022-736
003046;2019-1599;2022-707
003047;2018-5889;2022-1202
003048;2021-10413;2022-909
003049;2018-3204;2022-710
003050;2021-10425;2022-912
003051;2017-2891;2022-713
003052;2021-3506;2022-883
003053;2021-18572;2022-914
003054;2020-8276;2022-2387
003055;2018-236;2022-721
003056;2017-2585;2022-710
003057;2019-4449;2022-722
003058;2022-3006;2022-709
003059;2018-5004;2022-732
003060;2019-6419;2022-729
003061;2021-1441;2022-705
003062;2019-4375;2022-783
003063;2021-316;2022-704
003064;2018-2586;2022-765
003065;2018-1128;2022-756
003066;2018-3287;2022-750
003067;2018-4103;2022-751
003068;2018-4565;2022-752
003069;2018-2844;2022-768
003070;2019-779;2022-770
003071;2019-779;2022-770
003072;2021-3144;2022-673
003073;2021-2980;2022-672
003074;2021-3302;2022-675
003075;2022-926;2022-2257
003076;2021-1526;2022-708
003077;2021-1228;2022-702
003078;2021-1447;2022-701
003079;2021-4099;2022-697
003080;2021-4705;2022-698
003081;2021-668;2022-706
003082;2021-1225;2022-700
003083;2021-1226;2022-699
003084;2021-1218;2022-703
003085;2021-1227;2022-695
003086;2021-2384;2022-677
003087;2019-949;2022-707
003088;2021-1998;2022-676
003089;2021-2034;2022-681
003090;2018-6205;2022-759
003091;2019-1171;2022-782
003092;2018-2646;2022-784
003093;2018-4376;2022-785
003094;2018-2646;2022-784
003095;2018-4376;2022-785
003096;2021-947;2022-786
003097;2022-81;2022-740
003098;2018-2132;2022-778
003099;2018-155;2022-737
003100;2018-5353;2022-747
003101;2019-2637;2022-739
003102;2022-75;2022-733
003103;2018-919;2022-761
003104;2018-2297;2022-749
003105;2019-3560;2022-744
003106;2022-41;2022-779
003107;2018-2158;2022-748
003108;2018-6837;2022-753
003109;2018-3178;2022-735
003110;2018-1735;2022-731
003111;2019-2255;2022-742
003112;2018-154;2022-736
003113;2018-1126;2022-755
003114;2022-74;2022-734
003115;2019-5549;2022-746
003116;2022-75;2022-733
003117;2022-74;2022-734
003118;2019-4717;2022-745
003119;2019-3559;2022-743
003120;2019-2264;2022-741
003121;2019-2775;2022-773
003122;2018-1125;2022-757
003123;2018-1125;2022-757
003124;2018-1600;2022-1173
003125;2019-4163;2022-760
003126;2019-891;2022-767
003127;2022-32;2022-730
003128;2019-7574;2022-781
003129;2018-4917;2022-764
003130;2018-3865;2022-727
003131;2019-6450;2022-728
003132;2021-2383;2022-671
003133;2021-249;2022-696
003134;2018-4622;2022-762
003135;2018-1127;2022-754
003136;2018-3316;2022-769
003137;2019-2728;2022-774
003138;2022-77;2022-780
003139;2021-2592;2022-777
003140;2018-4621;2022-763
003141;2019-4860;2022-776
003142;2019-3372;2022-766
003143;2018-979;2022-758
003144;2019-4089;2022-775
003145;2019-810;2022-726
003146;2019-1175;2022-725
003147;2019-5488;2022-738
003148;2019-1176;2022-720
003149;2019-3540;2022-724
003150;2021-4736;2022-703
003151;2019-1000;2022-1219
003152;2017-7657;2022-1216
003153;2018-1821;2022-1220
003154;2018-1818;2022-1227
003155;2018-1816;2022-1222
003156;2018-1829;2022-1224
003157;2018-303;2022-1223
003158;2018-1822;2022-1228
003159;2018-1826;2022-1229
003160;2018-301;2022-1221
003161;2018-296;2022-1225
003162;2018-306;2022-1226
003163;2018-5493;2022-1196
003164;2018-6610;2022-1200
003165;2018-2543;2022-1199
003166;2018-2541;2022-1201
003167;2019-6647;2022-1204
003168;2018-6609;2022-1203
003169;2018-6611;2022-1198
003170;2018-2887;2022-1195
003171;2018-5499;2022-1197
003172;2018-2544;2022-1202
003173;2019-8774;2022-1210
003174;2018-2556;2022-1191
003175;2018-2553;2022-1192
003176;2018-2861;2022-1194
003177;2018-6612;2022-1190
003178;2022-1260;2022-1189
003179;2018-5504;2022-1193
003180;2018-4252;2022-706
003181;2020-1693;2022-667
003182;2021-18995;2022-855
003183;2021-17047;2022-823
003184;2020-1567;2022-663
003185;2021-4815;2022-1143
003186;2020-1710;2022-674
003187;2020-1428;2022-659
003188;2020-1557;2022-661
003189;2020-1694;2022-658
003190;2020-1681;2022-666
003191;2020-2842;2022-668
003192;2020-1582;2022-664
003193;2020-1564;2022-662
003194;2022-2709;2022-678
003195;2020-1554;2022-660
003196;2021-17721;2022-816
003197;2022-2644;2022-694
003198;2022-454;2022-646
003199;2022-1928;2022-675
003200;2020-1706;2022-673
003201;2020-1717;2022-670
003202;2020-1583;2022-665
003203;2020-2850;2022-669
003204;2022-465;2022-684
003205;2018-2456;2022-705
003206;2018-3939;2022-713
003207;2018-6495;2022-1103
003208;2020-1536;2022-671
003209;2020-1691;2022-672
003210;2021-4022;2022-1146
003211;2021-18535;2022-818
003212;2021-9867;2022-840
003213;2021-16219;2022-868
003214;2021-2849;2022-837
003215;2021-16383;2022-851
003216;2021-18460;2022-830
003217;2021-17650;2022-825
003218;2021-17113;2022-828
003219;2022-373;2022-834
003220;2021-2778;2022-850
003221;2021-15997;2022-849
003222;2021-9868;2022-839
003223;2021-15568;2022-838
003224;2019-818;2022-699
003225;2019-819;2022-701
003226;2019-3097;2022-681
003227;2021-3205;2022-689
003228;2021-3893;2022-680
003229;2018-912;2022-695
003230;2019-3089;2022-678
003231;2021-6720;2022-2204
003232;2018-468;2022-702
003233;2018-6292;2022-697
003234;2019-18309;2022-2169
003235;2021-4845;2022-2196
003236;2019-820;2022-704
003237;2021-3945;2022-679
003238;2021-17781;2022-799
003239;2021-6719;2022-2190
003240;2020-11307;2022-2249
003241;2021-6670;2022-2192
003242;2019-6700;2022-719
003243;2017-1790;2022-826
003244;2021-6412;2022-852
003245;2017-3976;2022-827
003246;2021-16626;2022-824
003247;2021-1594;2022-694
003248;2019-5851;2022-693
003249;2019-1984;2022-677
003250;2021-1593;2022-691
003251;2019-5726;2022-690
003252;2019-5725;2022-696
003253;2019-1148;2022-676
003254;2019-1147;2022-675
003255;2018-468;2022-1124
003256;2021-14629;2022-866
003257;2019-1681;2022-674
003258;2022-685;2022-1155
003259;2021-1778;2022-794
003260;2020-1338;2022-1175
003261;2020-1457;2022-1173
003262;2021-4025;2022-1148
003263;2020-1346;2022-1172
003264;2018-4089;2022-712
003265;2019-347;2022-703
003266;2021-3292;2022-831
003267;2021-1888;2022-814
003268;2021-9932;2022-815
003269;2018-3168;2022-707
003270;2021-2093;2022-632
003271;2017-2857;2022-795
003272;2018-5215;2022-1123
003273;2018-918;2022-1125
003274;2018-580;2022-1121
003275;2018-6205;2022-1102
003276;2022-137;2022-666
003277;2021-5292;2022-659
003278;2019-378;2022-714
003279;2018-4015;2022-700
003280;2018-3677;2022-711
003281;2018-6085;2022-716
003282;2021-6671;2022-2242
003283;2019-132;2022-1104
003284;2018-6086;2022-718
003285;2018-6084;2022-717
003286;2021-754;2022-633
003287;2018-3676;2022-715
003288;2021-4769;2022-671
003289;2022-755;2022-693
003290;2021-4689;2022-682
003291;2017-197;2022-1138
003292;2021-18042;2022-869
003293;2018-3675;2022-1106
003294;2019-9478;2022-1127
003295;2022-1362;2022-1139
003296;2018-6617;2022-1168
003297;2021-15054;2022-808
003298;2021-14914;2022-807
003299;2021-14757;2022-809
003300;2018-3743;2022-710
003301;2021-6258;2022-793
003302;2021-16642;2022-854
003303;2021-16311;2022-810
003304;2021-15396;2022-802
003305;2021-16935;2022-797
003306;2022-534;2022-788
003307;2021-18793;2022-805
003308;2021-16015;2022-819
003309;2021-16220;2022-820
003310;2021-16413;2022-811
003311;2018-3691;2022-1122
003312;2021-16083;2022-817
003313;2021-15528;2022-806
003314;2021-16509;2022-798
003315;2018-5694;2022-682
003316;2019-5790;2022-683
003317;2021-17636;2022-822
003318;2021-17419;2022-821
003319;2020-3389;2022-2154
003320;2021-3844;2022-2202
003321;2018-2916;2022-686
003322;2019-17713;2022-2155
003323;2019-921;2022-2182
003324;2019-13615;2022-2171
003325;2022-470;2022-685
003326;2019-14212;2022-2241
003327;2019-16929;2022-2174
003328;2018-8078;2022-2221
003329;2020-2747;2022-2248
003330;2021-1990;2022-2247
003331;2021-4796;2022-1141
003332;2021-6687;2022-2246
003333;2019-1805;2022-2197
003334;2021-4811;2022-1142
003335;2018-5404;2022-2215
003336;2018-3925;2022-2244
003337;2021-6441;2022-2203
003338;2021-8420;2022-2245
003339;2018-5353;2022-2216
003340;2018-565;2022-656
003341;2017-2246;2022-662
003342;2017-2392;2022-663
003343;2017-2981;2022-664
003344;2021-9845;2022-2180
003345;2022-912;2022-1163
003346;2018-2010;2022-781
003347;2018-2011;2022-780
003348;2022-2695;2022-652
003349;2021-14419;2022-726
003350;2022-2523;2022-650
003351;2022-2694;2022-649
003352;2021-4563;2022-2144
003353;2021-7289;2022-2127
003354;2018-5054;2022-644
003355;2021-7293;2022-2130
003356;2021-2213;2022-2139
003357;2021-7292;2022-2123
003358;2021-4472;2022-2129
003359;2018-3502;2022-655
003360;2018-813;2022-1009
003361;2018-6627;2022-1010
003362;2018-7906;2022-1008
003363;2019-3690;2022-1025
003364;2018-5391;2022-1007
003365;2018-6386;2022-663
003366;2022-1094;2022-1118
003367;2020-5667;2022-1090
003368;2018-8274;2022-2095
003369;2019-1351;2022-670
003370;2021-7286;2022-2125
003371;2018-4313;2022-642
003372;2018-2930;2022-636
003373;2018-8873;2022-2091
003374;2018-5463;2022-2069
003375;2018-6118;2022-2086
003376;2019-793;2022-673
003377;2021-7287;2022-2126
003378;2018-2433;2022-637
003379;2018-4576;2022-646
003380;2018-4033;2022-643
003381;2021-1022;2022-2142
003382;2021-4564;2022-2134
003383;2019-1017;2022-671
003384;2018-4034;2022-645
003385;2021-5750;2022-1097
003386;2020-1191;2022-1110
003387;2022-1093;2022-1117
003388;2021-2394;2022-584
003389;2021-18219;2022-754
003390;2021-14628;2022-730
003391;2021-14599;2022-728
003392;2021-16107;2022-745
003393;2021-2497;2022-764
003394;2021-17472;2022-765
003395;2020-10475;2022-2135
003396;2021-3617;2022-2137
003397;2021-763;2022-2136
003398;2021-4562;2022-2143
003399;2018-4349;2022-650
003400;2018-4391;2022-641
003401;2022-387;2022-727
003402;2021-18587;2022-753
003403;2021-18657;2022-756
003404;2021-16296;2022-759
003405;2021-18736;2022-758
003406;2018-3857;2022-672
003407;2019-1607;2022-1006
003408;2021-11597;2022-750
003409;2017-2540;2022-760
003410;2021-17267;2022-755
003411;2021-16480;2022-778
003412;2017-4099;2022-733
003413;2019-1520;2022-657
003414;2021-959;2022-651
003415;2019-5585;2022-658
003416;2018-233;2022-647
003417;2018-4350;2022-652
003418;2018-3188;2022-639
003419;2018-4348;2022-649
003420;2019-5586;2022-659
003421;2018-596;2022-767
