TXT DosyaNo;esasNo;kararNo
000215;2021-6194;2022-5007
000216;2021-1453;2022-1963
000217;2017-2865;2022-2376
000218;2021-3034;2022-2578
000219;2021-2969;2022-2563
000220;2021-2970;2022-2564
000221;2020-4644;2022-1948
000222;2021-2974;2022-2579
000223;2019-12595;2022-5015
000224;2021-2978;2022-2567
000225;2021-8984;2022-2420
000226;2021-3032;2022-2553
000227;2021-3147;2022-2568
000228;2022-762;2022-5057
000229;2020-2862;2022-2422
000230;2022-1703;2022-4987
000231;2021-8903;2022-2418
000232;2021-2928;2022-2557
000233;2022-1393;2022-5006
000234;2021-3144;2022-2572
000235;2021-2785;2022-2554
000236;2022-1160;2022-4994
000237;2018-5362;2022-2894
000238;2020-5691;2022-4860
000239;2022-1250;2022-1891
000240;2022-5840;2022-2353
000241;2021-11470;2022-2363
000242;2021-6247;2022-2355
000243;2021-6145;2022-2358
000244;2021-5656;2022-2356
000245;2022-5376;2022-2359
000246;2021-5615;2022-2362
000247;2021-5569;2022-2365
000248;2020-2201;2022-1921
000249;2020-1302;2022-1887
000250;2022-1249;2022-1892
000251;2022-691;2022-1836
000252;2019-1030;2022-1926
000253;2019-1109;2022-1914
000254;2019-1674;2022-1913
000255;2022-2272;2022-4941
000256;2020-2699;2022-4946
000257;2019-3332;2022-2806
000258;2019-3510;2022-2808
000259;2019-18579;2022-4855
000260;2021-9241;2022-2292
000261;2021-2993;2022-1872
000262;2021-9048;2022-2312
000263;2021-9076;2022-2290
000264;2021-9020;2022-2313
000265;2021-3865;2022-1882
000266;2021-4475;2022-4806
000267;2020-1576;2022-1876
000268;2021-7050;2022-4807
000269;2020-5247;2022-4808
000270;2020-10706;2022-4812
000271;2021-9029;2022-2294
000272;2021-9013;2022-2293
000273;2021-9040;2022-2297
000274;2021-8992;2022-2299
000275;2021-9230;2022-2300
000276;2021-9054;2022-2298
000277;2021-1137;2022-2295
000278;2021-9073;2022-2288
000279;2021-9015;2022-2301
000280;2021-9010;2022-2304
000281;2021-9038;2022-2310
000282;2020-3207;2022-1860
000283;2020-3208;2022-1859
000284;2019-6451;2022-1856
000285;2020-3407;2022-1861
000286;2020-3408;2022-1862
000287;2020-4578;2022-1864
000288;2020-4577;2022-1863
000289;2021-2994;2022-1873
000290;2021-9060;2022-2303
000291;2021-9050;2022-2302
000292;2021-9178;2022-2320
000293;2021-3866;2022-1875
000294;2020-1577;2022-1884
000295;2021-9049;2022-2305
000296;2021-9033;2022-2308
000297;2019-1508;2022-1842
000298;2021-6378;2022-2245
000299;2021-1955;2022-1822
000300;2021-5686;2022-2266
000301;2021-5616;2022-2230
000302;2021-1233;2022-2214
000303;2021-6354;2022-2221
000304;2021-5674;2022-2237
000305;2021-6122;2022-2264
000306;2021-6170;2022-2222
000307;2021-5675;2022-2220
000308;2021-6409;2022-2225
000309;2021-6387;2022-2271
000310;2021-6249;2022-2278
000311;2021-2470;2022-2213
000312;2021-1964;2022-2216
000313;2021-5592;2022-2231
000314;2021-1980;2022-2211
000315;2021-6104;2022-2258
000316;2021-5847;2022-2253
000317;2021-5823;2022-2255
000318;2021-5632;2022-2244
000319;2021-5608;2022-2246
000320;2021-5709;2022-2240
000321;2021-5607;2022-2235
000322;2021-6329;2022-2280
000323;2021-5589;2022-2250
000324;2021-5717;2022-2239
000325;2021-5682;2022-2254
000326;2021-5662;2022-2242
000327;2019-4639;2022-2540
000328;2021-1956;2022-1821
000329;2021-5792;2022-2263
000330;2021-6137;2022-2262
000331;2021-1836;2022-1820
000332;2021-1598;2022-1841
000333;2021-2167;2022-1786
000334;2021-5691;2022-2241
000335;2021-5631;2022-2267
000336;2021-5818;2022-2270
000337;2019-5820;2022-1828
000338;2021-5738;2022-2261
000339;2021-6169;2022-2277
000340;2021-6128;2022-2228
000341;2021-5658;2022-2282
000342;2021-5688;2022-2273
000343;2021-5825;2022-2272
000344;2021-6352;2022-2243
